toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderrtot,pl_orbper,pl_orbpererrtot,pl_trandurh,pl_trandurherrtot,pl_trandep,pl_trandeperrtot,pl_rade,pl_radeerrtot,pl_insol,pl_insolerrtot,pl_eqt,pl_eqterrtot,st_tmag,st_tmagerrtot,st_dist,st_disterrtot,st_teff,st_tefferrtot,st_logg,st_loggerrtot,st_rad,st_raderrtot
1000.01,50365310,FP,2459229.63,0.003314,2.1713484,0.0005274,2.0172196,0.6391758,656.8860989,75.55642,5.8181633,3.821093,22601.94858,0,3127.204052,0,9.604,0.026,485.735,23.903,10249,529.4,4.19,0.14,2.16986,0.1451458
1001.01,88863718,PC,2459987.949,0.003832,1.9316462,0.0000106,3.166,1.294,1286,2372.98,11.2154,5.2484,44464.5,0,4045,0,9.42344,0.012,295.862,11.82,7070,252.8,4.03,0.18,2.01,0.18
1002.01,124709665,FP,2459224.688,0.00125,1.8675574,0.000006,1.408,0.368,1500,3.5168,23.7529,0,2860.61,0,2037,0,9.299501,0.116,943.109,212.666,8924,248,,0,5.73,0
1003.01,106997505,FP,2458493.396,0.0107,2.74323,0.00216,3.167,1.284,383.41,1.563976,,0,1177.36,0,1631,0,9.3003,0.074,7728.17,3799.14,5388.5,1134,4.15,3.28,,0
1004.01,238597883,FP,2459987.047,0.007496,3.5730141,0.0000256,3.37,2.058,755,2613.1,11.3113,6.49428,54679.3,0,4260,0,9.1355,0.012,356.437,9.235,9219,342.2,4.14,0.14,2.15,0.12
1005.01,169904935,FP,2459985.157,0.001162,4.5505945,0.0000062,2.654,0.678,3731,247.446,7.10841,0.949222,414.775,0,1257,0,9.1309,0.012,100.711,28.242,5613,359.8,,0,1.09,0.14
1006.01,156115721,FP,2459229.985,0.004318,2.5047918,0.0008152,4.3797563,0.2073108,2270.540219,162.76176,8.6950898,16.877532,1750.932635,0,1649.82207,0,9.2386,0.012,,0,6616,400,,0,1.53429,2.9774
1007.01,65212867,PC,2459247.931,0.0026,6.9989206,0.0000274,3.953,0.874,2840,1.887236,14.7752,1.52941,448.744,0,1282,0,8.87759,0.012,283.291,6.005,6596,278.4,3.71,0.18,2.7,0.26
1008.01,440801822,FP,2460258.236,0.00561,2.0483755,0.000011,2.767,1.722,483,83.88,3.19621,0,5644.4,0,,0,8.9362,0.024,144.297,0,6858.5,1169.2,4.2,3.8,1.57,0
1009.01,107782586,PC,2459229.231,0.000778,1.9600277,0.000005,2.0065257,0.101182,1707.627269,99.202446,,0,1063.342296,0,1456.424653,0,8.4331,0.056,866.147,344.194,8868.7,1619.6,,0,,0
